Index,Group,Folder,AddedC_Index,AddedC_X,AddedC_Y,AddedC_Z,Nb,Hf,Ti,Ta,Zr,C,Eads
23,bridge,23,160,0.8523241244247964,11.285228439308217,13.632951326850833,0,0,1,0,1,1,0.893
24,bridge,25,160,6.647166047310239,13.373025114078608,13.87884153004734,0,0,0,0,2,1,-0.493
25,bridge,26,160,0.08517146366036087,2.4452483829466725,13.680705004876703,1,0,0,0,0,0,2.328
26,bridge,27,160,4.35684886625047,11.034911975105112,12.661660101762845,2,0,1,0,1,1,0.439
27,bridge,28,160,4.352111636485071,11.037503622663664,12.644632748418063,2,0,1,0,1,1,0.438
28,bridge,29,160,2.198977479634293,4.516393892623753,12.829492882056215,1,2,0,1,0,1,1.375
29,bridge,30,160,4.326346416551235,6.622420912134619,13.680420066013454,1,2,0,1,0,1,1.931
30,bridge,31,160,6.3493643850159645,3.6522160548426803,13.701193067410967,0,1,1,0,0,1,1.705
31,bridge,34,160,3.415451679206109,20.33410436126667,14.316692109040199,0,0,0,1,1,1,5.087
32,bridge,35,160,2.9337768605155867,18.182164114571258,14.08637206976815,0,0,0,2,0,2,1.501
33,bridge,37,160,4.559010898523479,5.831310475078234,14.19478340123583,0,2,0,0,0,1,4.334
34,bridge,38,160,5.230101526236959,20.382960637164334,13.893068720096327,1,0,0,1,1,1,2.041
35,bridge,39,160,8.64577163256322,11.300786731426864,13.190727564985165,0,0,1,0,2,0,0.892
36,bridge,40,160,3.101371852146814,9.85424988817984,13.591496822315037,1,0,1,0,0,1,1.247
37,bridge,41,160,2.335404562088242,8.52723422945285,13.028277889708129,2,0,0,1,1,2,1.176
38,bridge,42,160,8.924624123172823,16.3170467979332,13.75105897747505,0,0,1,0,1,0,-0.355
39,bridge,43,160,6.485794296897425,17.430160586087325,14.35552882210009,0,0,0,1,1,2,1.429
40,bridge,44,160,6.0835276323148815,18.30243765182853,13.934133961439718,1,0,0,1,1,3,1.010
41,bridge,45,160,5.823023507896059,9.82523600528349,13.61757216778029,1,0,0,0,1,1,0.884
42,bridge,46,160,6.245368984449858,18.54270649437928,13.76412313065356,1,0,0,1,0,2,1.505
43,bridge,47,160,0.0792211124164408,2.4387217559416974,13.685549487860836,1,0,0,0,0,0,2.327
44,bridge,48,160,6.194993311525296,3.7507502833504027,13.681432476731311,0,1,1,0,0,1,1.482
45,bridge,49,160,5.817463285901131,9.816013153172271,13.64215051780929,1,0,0,0,1,1,0.882
46,bridge,50,160,6.654746389479126,13.380112380826297,13.843509898230627,0,0,0,0,2,1,-0.493
47,bridge,51,160,4.336407143432919,6.612507904245669,13.696807478926297,1,2,0,1,0,1,1.931
48,bridge,52,160,6.079569994875442,18.304439529426134,13.93670835799951,1,0,0,1,1,3,1.010
49,bridge,53,160,5.125152986162747,20.206591307231324,13.900041803049419,1,0,0,1,1,2,1.671
50,bridge,54,160,4.204949802565664,20.379083867371815,13.81650296814123,1,0,0,2,1,1,1.958
51,bridge,55,160,4.353266563479154,11.036074552025188,12.648392808478903,2,0,1,0,1,1,0.436
52,bridge,56,160,8.191209326917189,20.437988599043837,14.041844025707258,1,0,2,0,0,0,1.964
53,bridge,57,160,4.357399690683733,11.037272300866622,12.637121293521307,2,0,1,0,1,1,0.439
54,bridge,58,160,2.859963724896728,3.65687270951189,13.695176046701913,1,1,0,0,0,1,1.376
55,bridge,59,160,8.930133862763137,16.309137844462118,13.780969913626565,0,0,1,0,1,0,-0.355
56,bridge,60,160,7.387274756981347,18.283014045467837,13.882317999197488,1,0,0,0,1,2,1.014
57,bridge,61,160,5.823834131773729,9.82466914753751,13.619148057326377,1,0,0,0,1,1,0.884
58,bridge,62,160,2.7137750789935886,0.6969306410923349,13.731670954269074,1,0,0,0,0,0,1.225
59,hollow,01,160,7.397555760337967,18.287416761137496,13.86970771827771,1,0,0,0,1,2,1.015
60,hollow,02,160,6.108214254326427,18.312015862396628,13.90642755403767,1,0,0,1,1,3,1.010
61,hollow,03,160,5.815424792394203,9.817162078612009,13.65922993113488,1,0,0,0,1,1,0.881
62,hollow,04,160,3.1002432321409663,9.849357741993538,13.616189233951241,1,0,1,0,0,1,1.245
63,hollow,05,160,6.516081538270462,4.202457201110502,13.746633183357833,0,2,1,0,0,1,1.503
64,hollow,06,160,2.6855524206834707,4.937048631885802,13.811787965832444,0,1,0,1,0,2,2.102
65,hollow,07,160,8.924777699778577,16.314392585543562,13.750261173518293,0,0,1,0,1,0,-0.355
66,hollow,08,160,6.510566292709058,4.182463558306955,13.742615141037223,0,2,1,0,0,1,1.505
67,hollow,09,160,2.3798237234398183,18.44764345431434,13.770698344410759,0,0,0,2,0,1,0.823
68,hollow,10,160,4.51801600028382,16.355400588640908,13.885342540908063,0,0,0,1,1,1,-0.351
69,ontop,01,160,6.473370797104747,0.5500230152106061,13.65091275003927,0,0,1,0,0,0,1.24
70,ontop,02,160,4.354492258270457,11.032219204761269,12.682234480141336,2,0,1,0,1,1,0.44
71,ontop,03,160,4.478715467080342,2.2368526332283016,12.686144904602177,1,1,1,0,1,0,-0.69
72,ontop,04,160,4.484743158017985,2.2414155259291086,12.67928553343061,1,1,1,0,1,0,-0.69
73,ontop,05,160,6.506620490039977,4.197937816536618,13.725581193216488,0,2,1,0,0,1,1.51
74,ontop,06,160,2.7164994226070687,0.6955487680915983,13.729243858532882,1,0,0,0,0,0,1.23
75,ontop,07,160,8.937263423820417,16.316288297946105,13.750317332661533,0,0,1,0,1,0,-0.35
76,ontop,08,160,4.354355833889201,11.036271531703928,12.665942598981811,2,0,1,0,1,1,0.43
77,ontop,09,160,4.8216475454966385,1.882802793129468,13.181886408880269,1,1,1,0,0,0,3.27
78,ontop,10,160,2.7204932229639383,0.686619642312828,13.72747410919702,1,0,0,0,0,0,1.23
79,ontop,11,160,4.521729121018547,16.352146240152294,13.866649715000296,0,0,0,1,1,1,-0.35
80,ontop,12,160,6.193140250609276,3.7461604135276168,13.675542919162954,0,1,1,0,0,1,1.49
81,ontop,13,160,3.1030615713936167,9.845875706485787,13.627765453183578,1,0,1,0,0,1,1.25
82,ontop,14,160,4.483891464134018,2.2312807769908916,12.682020914032124,1,1,1,0,1,0,-0.68
83,ontop,15,160,5.825921806155839,9.816534176611539,13.623766272557976,1,0,0,0,1,1,0.89
84,ontop,18,160,0.4293526588163897,20.696866795452056,13.801308556122212,0,0,0,1,0,0,1.23
85,ontop,19,160,2.710059002022164,0.6926207256074672,13.734525998161331,1,0,0,0,0,0,0.84
86,ontop,20,160,8.92411194679459,16.309098187990465,13.76581859195396,0,0,1,0,1,0,1.38
87,ontop,21,160,2.3874580963807754,18.443188065047746,13.780201448981828,0,0,0,2,0,1,1.93
88,ontop,22,160,4.207924932706899,20.379449729687902,13.848344564176623,1,0,0,2,1,1,0.88
89,ontop,23,160,6.480638607002744,0.5639716494861523,13.668560247874092,0,0,1,0,0,0,1.50
90,ontop,24,160,0.2710709407281946,10.983122496634932,13.740523211554935,0,0,1,0,0,1
91,ontop,26,160,6.245900230861903,18.535103019270966,13.79202265208966,1,0,0,1,0,2
92,ontop,27,160,0.07113215297930219,6.512402714428021,13.666243996938796,0,0,0,1,0,0
93,ontop,28,160,3.0980484323947017,9.854933686415203,13.606033736353105,1,0,1,0,0,1
94,ontop,31,160,2.8662034100149394,3.6571887281353392,13.689687012530637,1,1,0,0,0,1
95,ontop,32,160,4.331289273553675,6.622374134973328,13.68545342085492,1,2,0,1,0,1
96,ontop,33,160,5.819059349050366,9.817492150731473,13.637853841114834,1,0,0,0,1,1
97,ontop,34,160,6.513961998816849,4.186567841116826,13.745628252436877,0,2,1,0,0,1
